TrackID	GenreID	Genre	Type	spectral_rolloff_mean	mfcc_1_mean	spectral_centroid_mean	tempo	zero_cross_rate_mean
0	0	pop	Train	5351.9093044033	9.67507362365723	2569.25582274333	117.453835227273	0.131656422334559
1	0	pop	Train	6839.56697540756	-63.6350555419922	2844.07040796475	107.666015625	0.0997465623790635
2	0	pop	Train	6873.34177117599	-119.346458435059	2765.64813486862	161.4990234375	0.0960149144978715
3	0	pop	Train	7534.99610357609	-26.936580657959	3634.10656365806	117.453835227273	0.183105846676664
5	0	pop	Train	7879.04402316539	-8.53134250640869	3671.26048863787	129.19921875	0.161897358141447
6	0	pop	Train	5496.2250984121	-111.616523742676	2518.66801215659	117.453835227273	0.100143385376354
7	0	pop	Train	8057.20961248912	-52.5379753112793	3889.78711673405	112.34714673913	0.191042306622485
8	0	pop	Train	7633.17884321183	-77.9418869018555	3727.24883520762	89.1029094827586	0.144787484278251
11	0	pop	Train	7112.75699013158	-88.4512481689453	3647.85940167662	129.19921875	0.205950001814048
12	0	pop	Train	8382.25764696812	-52.6491508483887	4052.8886702468	129.19921875	0.210714523268189
15	0	pop	Train	7658.53702320772	-68.8547210693359	3645.47069344226	95.703125	0.159240533692918
17	0	pop	Train	4265.42420756337	-170.922622680664	1987.8719212362	117.453835227273	0.066140189628483
18	0	pop	Train	8331.4746207128	-34.2099380493164	4037.15377036993	112.34714673913	0.213925766132933
19	0	pop	Train	3796.33537741268	-125.981422424316	1826.5420467739	123.046875	0.0746465629837461
20	0	pop	Train	7257.39778217516	-42.689380645752	3510.92847523313	99.3840144230769	0.17203410712558
21	0	pop	Train	7052.6656868288	-47.6819343566895	3401.23368861056	99.3840144230769	0.16573822682856
24	0	pop	Train	4627.66368381748	-240.685928344727	2200.79968093783	123.046875	0.0871253235052245
25	0	pop	Train	4748.00462279896	-113.618118286133	2290.0859205862	112.34714673913	0.106780533451045
26	0	pop	Train	8525.24844898897	-19.4797134399414	3934.60435800451	83.3543346774194	0.187178006482198
27	0	pop	Train	6921.30814779654	-15.6791753768921	3267.58027540717	92.28515625	0.146523301446401
28	0	pop	Train	5986.18880233528	-20.9019451141357	2753.22176956905	107.666015625	0.123763046028444
29	0	pop	Train	4192.27464988874	-111.130561828613	1901.41164586085	107.666015625	0.0662172866679567
30	0	pop	Train	4979.02822583083	-169.150848388672	2125.40798724714	92.28515625	0.0676953578511997
31	0	pop	Train	5533.69987180728	-50.8538589477539	2679.28399043523	99.3840144230769	0.125934234713622
32	0	pop	Train	5224.36007567604	-161.65412902832	2150.08522897335	143.5546875	0.0516591736406734
33	0	pop	Train	4127.16671025421	-224.456359863281	1968.40645173828	129.19921875	0.082344929131192
34	0	pop	Train	3671.06946821183	-125.906784057617	1837.19150212761	92.28515625	0.0853517136706656
36	0	pop	Train	7499.38798556018	-97.0082015991211	3490.32974910394	112.34714673913	0.153415927946014
37	0	pop	Train	7423.94677507619	-59.6071243286133	3213.51683575242	129.19921875	0.118868517801858
38	0	pop	Train	6656.15141782967	-45.6387367248535	2946.57741774578	99.3840144230769	0.121269863825464
